"","County","County.Name","Election.District...Precinct","Congressional","Legislative","Office.Name","Office.District","Party","Winner","Early.Votes","Election.Night.Votes","Mail.In.Ballot.1.Votes","Provisional.Votes","Mail.In.Ballot.2.Votes","mail2","full_votes","Gabe Albornoz","Brandy H. M. Brooks","Dana E. Gassaway","Evan Glass","Scott Evan Goldberg","Tom Hucker","Will Jawando","Laurie-Anne Sayles"
"1921",16,"Montgomery County","013-052",8,"19","County Council At Large","16","DEM","",38,69,48,5,46,46,206,NA,NA,NA,NA,NA,"Tom Hucker",NA,NA
"1922",16,"Montgomery County","013-052",8,"19","County Council At Large","16","DEM","Y",44,118,67,20,63,63,312,NA,NA,NA,NA,NA,NA,"Will Jawando",NA
"1923",16,"Montgomery County","013-052",8,"19","County Council At Large","16","DEM","Y",43,89,63,12,52,52,259,NA,NA,NA,NA,NA,NA,NA,"Laurie-Anne Sayles"
"1924",16,"Montgomery County","013-053",8,"18","County Council At Large","16","DEM","Y",37,105,69,4,28,28,243,"Gabe Albornoz",NA,NA,NA,NA,NA,NA,NA
"1925",16,"Montgomery County","013-053",8,"18","County Council At Large","16","DEM","",20,53,38,4,16,16,131,NA,"Brandy H. M. Brooks",NA,NA,NA,NA,NA,NA
"1926",16,"Montgomery County","013-053",8,"18","County Council At Large","16","DEM","",11,33,19,1,10,10,74,NA,NA,"Dana E. Gassaway",NA,NA,NA,NA,NA
"1927",16,"Montgomery County","013-053",8,"18","County Council At Large","16","DEM","Y",52,112,103,6,40,40,313,NA,NA,NA,"Evan Glass",NA,NA,NA,NA
"1928",16,"Montgomery County","013-053",8,"18","County Council At Large","16","DEM","",20,76,48,1,12,12,157,NA,NA,NA,NA,"Scott Evan Goldberg",NA,NA,NA
"1929",16,"Montgomery County","013-053",8,"18","County Council At Large","16","DEM","",29,48,54,4,17,17,152,NA,NA,NA,NA,NA,"Tom Hucker",NA,NA
"1930",16,"Montgomery County","013-053",8,"18","County Council At Large","16","DEM","Y",44,137,89,4,38,38,312,NA,NA,NA,NA,NA,NA,"Will Jawando",NA
"1931",16,"Montgomery County","013-053",8,"18","County Council At Large","16","DEM","Y",33,86,58,5,31,31,213,NA,NA,NA,NA,NA,NA,NA,"Laurie-Anne Sayles"
"1932",16,"Montgomery County","013-054",8,"19","County Council At Large","16","DEM","Y",48,86,222,15,79,79,450,"Gabe Albornoz",NA,NA,NA,NA,NA,NA,NA
"1933",16,"Montgomery County","013-054",8,"19","County Council At Large","16","DEM","",24,64,112,11,38,38,249,NA,"Brandy H. M. Brooks",NA,NA,NA,NA,NA,NA
"1934",16,"Montgomery County","013-054",8,"19","County Council At Large","16","DEM","",21,42,82,10,22,22,177,NA,NA,"Dana E. Gassaway",NA,NA,NA,NA,NA
"1935",16,"Montgomery County","013-054",8,"19","County Council At Large","16","DEM","Y",66,98,244,14,87,87,509,NA,NA,NA,"Evan Glass",NA,NA,NA,NA
"1936",16,"Montgomery County","013-054",8,"19","County Council At Large","16","DEM","",39,80,195,13,68,68,395,NA,NA,NA,NA,"Scott Evan Goldberg",NA,NA,NA
"1937",16,"Montgomery County","013-054",8,"19","County Council At Large","16","DEM","",25,59,119,12,53,53,268,NA,NA,NA,NA,NA,"Tom Hucker",NA,NA
